2023-06-16 15:17:46.654 [main] INFO  com.www.flinkexamples.FlinkExamplesApplication - Starting FlinkExamplesApplication using Java 11.0.15 on DESKTOP-STAACOU with PID 4568 (D:\test\items\github\flink\flink-examples\target\classes started by DELL in D:\test\items\github\flink)
2023-06-16 15:17:46.662 [main] INFO  com.www.flinkexamples.FlinkExamplesApplication - No active profile set, falling back to default profiles: default
2023-06-16 15:17:47.298 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 5556 (http)
2023-06-16 15:17:47.305 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-06-16 15:17:47.305 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2023-06-16 15:17:47.307 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.24] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.30]
2023-06-16 15:17:47.307 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.24] using APR version [1.7.0].
2023-06-16 15:17:47.308 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [false].
2023-06-16 15:17:47.308 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2023-06-16 15:17:47.311 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1g  21 Apr 2020]
2023-06-16 15:17:47.364 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-06-16 15:17:47.364 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 663 ms
2023-06-16 15:17:47.564 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 5556 (http) with context path ''
2023-06-16 15:17:47.572 [main] INFO  com.www.flinkexamples.FlinkExamplesApplication - Started FlinkExamplesApplication in 1.869 seconds (JVM running for 2.704)
2023-06-16 15:26:42.370 [main] INFO  com.www.flinkexamples.FlinkExamplesApplication - Starting FlinkExamplesApplication using Java 11.0.15 on DESKTOP-STAACOU with PID 18428 (D:\test\items\github\flink\flink-examples\target\classes started by DELL in D:\test\items\github\flink)
2023-06-16 15:26:42.372 [main] INFO  com.www.flinkexamples.FlinkExamplesApplication - No active profile set, falling back to default profiles: default
2023-06-16 15:26:42.889 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 5556 (http)
2023-06-16 15:26:42.895 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-06-16 15:26:42.895 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2023-06-16 15:26:42.896 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.24] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.30]
2023-06-16 15:26:42.896 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.24] using APR version [1.7.0].
2023-06-16 15:26:42.896 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [false].
2023-06-16 15:26:42.896 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2023-06-16 15:26:42.898 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1g  21 Apr 2020]
2023-06-16 15:26:42.950 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-06-16 15:26:42.950 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 552 ms
2023-06-16 15:26:43.155 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 5556 (http) with context path ''
2023-06-16 15:26:43.163 [main] INFO  com.www.flinkexamples.FlinkExamplesApplication - Started FlinkExamplesApplication in 1.14 seconds (JVM running for 1.896)
2023-06-16 15:29:58.543 [main] INFO  com.www.flinkexamples.FlinkExamplesApplication - Starting FlinkExamplesApplication using Java 11.0.15 on DESKTOP-STAACOU with PID 7312 (D:\test\items\github\flink\flink-examples\target\classes started by DELL in D:\test\items\github\flink)
2023-06-16 15:29:58.545 [main] INFO  com.www.flinkexamples.FlinkExamplesApplication - No active profile set, falling back to default profiles: default
2023-06-16 15:29:59.023 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 5556 (http)
2023-06-16 15:29:59.028 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-06-16 15:29:59.028 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2023-06-16 15:29:59.029 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.24] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.30]
2023-06-16 15:29:59.030 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.24] using APR version [1.7.0].
2023-06-16 15:29:59.030 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [false].
2023-06-16 15:29:59.030 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2023-06-16 15:29:59.032 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1g  21 Apr 2020]
2023-06-16 15:29:59.087 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-06-16 15:29:59.087 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 515 ms
2023-06-16 15:29:59.295 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 5556 (http) with context path ''
2023-06-16 15:29:59.303 [main] INFO  com.www.flinkexamples.FlinkExamplesApplication - Started FlinkExamplesApplication in 1.086 seconds (JVM running for 1.691)
