2023-06-16 15:33:21.108 [main] INFO  com.www.flinkexamples.FlinkExamplesApplication - Starting FlinkExamplesApplication using Java 11.0.15 on DESKTOP-STAACOU with PID 4624 (D:\test\items\github\flink\flink-examples\target\classes started by DELL in D:\test\items\github\flink)
2023-06-16 15:33:21.109 [main] INFO  com.www.flinkexamples.FlinkExamplesApplication - No active profile set, falling back to default profiles: default
2023-06-16 15:33:21.581 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 5556 (http)
2023-06-16 15:33:21.587 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-06-16 15:33:21.587 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2023-06-16 15:33:21.589 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.24] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.30]
2023-06-16 15:33:21.589 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.24] using APR version [1.7.0].
2023-06-16 15:33:21.589 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [false].
2023-06-16 15:33:21.589 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2023-06-16 15:33:21.591 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1g  21 Apr 2020]
2023-06-16 15:33:21.644 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-06-16 15:33:21.645 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 512 ms
2023-06-16 15:33:21.841 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 5556 (http) with context path ''
2023-06-16 15:33:21.849 [main] INFO  com.www.flinkexamples.FlinkExamplesApplication - Started FlinkExamplesApplication in 1.063 seconds (JVM running for 1.733)
2023-06-16 15:43:41.565 [main] INFO  com.www.flinkexamples.FlinkExamplesApplication - Starting FlinkExamplesApplication using Java 11.0.15 on DESKTOP-STAACOU with PID 9364 (D:\test\items\github\flink\flink-examples\target\classes started by DELL in D:\test\items\github\flink)
2023-06-16 15:43:41.566 [main] INFO  com.www.flinkexamples.FlinkExamplesApplication - No active profile set, falling back to default profiles: default
2023-06-16 15:43:42.043 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 5556 (http)
2023-06-16 15:43:42.049 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-06-16 15:43:42.049 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
2023-06-16 15:43:42.050 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.24] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.30]
2023-06-16 15:43:42.050 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.24] using APR version [1.7.0].
2023-06-16 15:43:42.050 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [false].
2023-06-16 15:43:42.050 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2023-06-16 15:43:42.052 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1g  21 Apr 2020]
2023-06-16 15:43:42.105 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-06-16 15:43:42.105 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 515 ms
2023-06-16 15:43:42.301 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 5556 (http) with context path ''
2023-06-16 15:43:42.308 [main] INFO  com.www.flinkexamples.FlinkExamplesApplication - Started FlinkExamplesApplication in 1.065 seconds (JVM running for 1.751)
